transaction_date,volume,,,
5/17/14,2716.5,,,
5/18/14,1920.87,,,
5/19/14,9035.78,,,
5/20/14,8154.9,,,
5/21/14,9836.47,,,
5/22/14,9202.15,,,
5/23/14,8409.39,,,
5/24/14,3356.79,,,
5/25/14,1656.51,,,
5/26/14,4103.43,,,
5/27/14,9062.85,,,
5/28/14,9755.55,,,
5/29/14,9559.31,,,
5/30/14,7120.13,,,
5/31/14,3508.26,,,
6/1/14,2435.65,,,
6/2/14,9062.68,,,
6/3/14,9516.4,,,
6/4/14,8810.96,,,
6/5/14,9187.27,,,
6/6/14,8670.33,,,
6/7/14,2665.85,,,
6/8/14,2514.21,,,
6/9/14,8460.02,,,
6/10/14,9335.46,,,
6/11/14,9600.92,,,
6/12/14,9236.91,,,
6/13/14,7145.16,,,
6/14/14,3229.01,,,
6/15/14,2427.63,,,
6/16/14,8402.46,,,
6/17/14,9847.83,,,
6/18/14,9127.02,,,
6/19/14,9183.68,,,
6/20/14,8312.2,,,
6/21/14,3678.9,,,
6/22/14,2644.9,,,
6/23/14,9073.17,,,
6/24/14,8509.9,,,
6/25/14,9538.53,,,
6/26/14,9040.24,,,
6/27/14,8684.79,,,
6/28/14,3100.44,,,
6/29/14,1979.14,,,
6/30/14,8696.09,,,
7/1/14,9434.03,,,
7/2/14,9699.98,,,
7/3/14,9670.31,,,
7/4/14,7929.11,,,
7/5/14,3564.74,,,
7/6/14,2510.82,,,
7/7/14,9073.87,,,
7/8/14,9073.96,,,
7/9/14,9905.4,,,
7/10/14,10182.89,,,
7/11/14,7063.22,,,
7/12/14,3249.86,,,
7/13/14,2133.07,,,
7/14/14,10579.61,,,
7/15/14,10573.1,,,
7/16/14,8854.4,,,
7/17/14,8980.01,,,
7/18/14,9256.36,,,
7/19/14,3101.6,,,
7/20/14,2467.59,,,
7/21/14,9087.95,,,
7/22/14,9819.16,,,
7/23/14,8659,,,
7/24/14,9832.22,,,
7/25/14,9066.63,,,
7/26/14,2865.23,,,
7/27/14,2928.19,,,
7/28/14,9375.93,,,
7/29/14,9419.68,,,
7/30/14,9401.07,,,
7/31/14,9614.99,,,
8/1/14,7415.02,,,
8/2/14,3111.04,,,
8/3/14,2719.12,,,
8/4/14,8844.93,,,
8/5/14,8962.49,,,
8/6/14,8838.44,,,
8/7/14,9071.11,,,
8/8/14,6980.34,,,
8/9/14,3074.35,,,
8/10/14,2293.48,,,
8/11/14,9133,,,
8/12/14,9124.55,,,
8/13/14,9486.61,,,
8/14/14,7914.4,,,
8/15/14,7954.73,,,
8/16/14,2550.82,,,
8/17/14,2703.32,,,
8/18/14,9111.21,,,
8/19/14,8583.01,,,
8/20/14,9206.71,,,
8/21/14,8654.58,,,
8/22/14,7685.29,,,
8/23/14,2582.83,,,
8/24/14,2103.97,,,
8/25/14,3848.45,,,
8/26/14,8818.79,,,
8/27/14,9003.51,,,
8/28/14,9501.69,,,
8/29/14,8198.37,,,
8/30/14,3397.56,,,
8/31/14,2438.06,,,
9/1/14,8985.56,,,
9/2/14,8878.87,,,
9/3/14,10135.94,,,
9/4/14,9788.45,,,
9/5/14,8026.3,,,
9/6/14,2989.22,,,
9/7/14,2326.08,,,
9/8/14,10528.6,,,
9/9/14,8922.28,,,
9/10/14,8784.46,,,
9/11/14,9417.11,,,
9/12/14,8572.07,,,
9/13/14,3436.44,,,
9/14/14,3058.96,,,
9/15/14,9061.06,,,
9/16/14,10299.83,,,
9/17/14,10232.02,,,
9/18/14,9514.14,,,
9/19/14,9249.99,,,
9/20/14,3142.43,,,
9/21/14,2812.85,,,
9/22/14,9850.54,,,
9/23/14,9963.78,,,
9/24/14,9286.15,,,
9/25/14,10027.82,,,
9/26/14,8807.19,,,
9/27/14,3186.58,,,
9/28/14,2437.52,,,
9/29/14,9291.59,,,
9/30/14,9403.9,,,
10/1/14,11076.06,,,
10/2/14,10697.76,,,
10/3/14,9809.7,,,
10/4/14,3409.43,,,
10/5/14,2797.11,,,
10/6/14,10257.81,,,
10/7/14,10202.62,,,
10/8/14,9543.34,,,
10/9/14,11336.63,,,
10/10/14,9153.48,,,
10/11/14,3410.06,,,
10/12/14,2832.13,,,
10/13/14,9891.99,,,
10/14/14,10416.99,,,
10/15/14,10074.22,,,
10/16/14,10623.48,,,
10/17/14,8933.31,,,
10/18/14,2966.65,,,
10/19/14,2943.32,,,
10/20/14,10520.46,,,
10/21/14,10270.34,,,
10/22/14,9501.93,,,
10/23/14,9611.05,,,
10/24/14,9915.75,,,
10/25/14,2886.91,,,
10/26/14,2485.4,,,
10/27/14,10662.43,,,
